59 136
100 -65 R
55 -50 R
89 -69 R
81 -89 D
57 -28 D
142 -118 R
91 -104 R
77 -70 R
104 -86 R
104 -37 R
123 -38 D
71 -72 R
107 -37 D
50 -109 R
94 -74 R
56 -76 R
78 -78 D
79 -28 D
147 -115 R
56 -64 D
123 -78 R
137 -33 D
106 14
-137 -26 R
-140 164 D
-55 -78 D
-123 -74 R
3 94 D
-73 -105 D
151 129 D
-77 -196 R
-8 54 R
160 187 D
2 -34 D
-157 -111 R
154 -44 D
-86 -73 R
172 78 R
-109 -159 R
189 127 R
176 -200 R
-93 -9 R
-84 -141 R
88 -139 D
78 -33 R
75 56 D
94 -8 R
86 61 R
64 -12 R
134 -6 D
59 20 R
113 -27 R
101 -10 D
95 1 R
150 45 D
58 -33 R
144 -26 D
65 43 R
78 55 D
104 54 D
66 63 R
115 16 R
139 -10 R
106 -8 D
138 19 D
127 36 D
151 -28 D
128 38 D
87 44 R
103 40 D
123 24 R
84 30 D
89 17 R
88 28 D
81 44 R
69 57 R
84 21 D
132 -1 D
90 32 R
87 30 R
154 46 D
79 45 D
119 53 R
123 -34 R
67 8 D
112 64 R
58 4 D
61 23 D
78 -28 D
153 -12 D
115 -36 D
104 62 R
76 33 R
140 -14 R
57 -10 R
154 -19 R
67 22 D
103 -3 R
128 58 R
98 50 R
118 11 R
120 50 D
142 9 D
149 -25 R
92 -9 D
84 -33 D
150 9 R
104 6 R
88 11 D
109 8 D
121 14 D
152 -29 D
130 50 D
153 17 D
107 0 R
111 46 R
147 21 D
107 32 R
145 19 D
64 -27 R
123 48 R
80 16 D
91 -3 R
-140 103
162 -111 R
160 -172 R
-21 13 D
-166 110 D
31 -133 D
42 31 R
-73 93 D
180 -164 D
-26 33 R
-140 -180 R
193 5 R
-108 106 D
-138 120 D
-100 93 R
-108 151 D
-115 75 R
-162 78 R
-183 108 D
-123 90 D
-110 96 D
-167 149 D
-107 142 D
-104 127 D
-125 67 R
-157 133 D
-156 118 D
-190 112 R
-176 141 D
-190 72 R
-104 61 D
-94 93 R
-159 135 D
-125 153 D
-180 103 R
-97 151 D
-106 141 D
-90 153 R
-175 120 D
-189 85 D
-132 142 R
-156 126 R
-124 142 R
-153 117 D
-130 75 D
-111 57 D
-145 69 R
-145 139 D
-133 72 R
-185 119 R
-142 122 R
-159 53 R
-97 107 R
-108 120 R
-190 66 D
-123 99 D
-164 102 D
-186 115 D
-182 125 D
-106 120 R
-105 88 D
-176 76 R
-132 88 R
-119 65 R
-160 138 D
-161 74 R
-106 152 R
-123 141 R
-111 58 D
-180 57 D
-190 111 D
-166 138 R
-171 99 R
-146 54 R
-170 64 D
-117 118 D
-132 95 D
-185 62 D
-92 144 R
-92 138 D
-182 106 R
-109 59 D
-119 95 R
-175 72 R
-92 107 R
-169 54 R
-116 64 R
-94 141 D
-151 55 R
-91 148 R
-119 93 D
-156 152 R
-162 88 R
-169 61 D
-180 85 R
-132 85 D
-158 80 R
-118 135 D
-106 139 D
-104 94 R
-159 113 R
