133 136
144 -59 R
113 -151 D
145 -74 D
119 -62 D
158 -141 R
133 -67 R
117 -154 R
98 -78 D
154 -90 D
143 -95 R
82 -155 R
127 -125 R
152 -141 R
114 -56 D
118 -81 R
155 -90 D
115 -100 R
59 -72 R
137 -140 R
111 -138 D
66 -129 D
135 -76 D
124 -146 D
127 -108 R
63 -153 D
114 -88 D
81 -83 D
158 -145 D
122 -8
-168 -16 D
-176 -144 R
151 96 R
-20 150 D
-184 48 R
-63 -80 D
39 180 R
198 170 R
-176 81 R
172 -115 R
-45 16 D
158 -155 D
-198 -4 R
104 45 R
147 -110 R
-82 -9 R
57 -139 D
56 -94 R
162 169 D
-100 -117 D
-64 178 D
82 -109 D
-5 -37 R
-128 -5 D
106 -163 D
9 -93 D
92 179 D
147 -132 D
73 200 D
168 138 R
61 28 D
106 -21 R
141 1 D
151 28 D
121 -19 D
115 -22 R
88 -21 D
145 -5 D
80 1 D
139 13 D
111 38 R
108 2 D
142 5 D
118 28 R
149 -28 D
118 -36 R
137 5 R
101 25 R
105 3 R
170 -30 D
161 8 R
119 24 R
166 -42 R
108 -16 R
118 29 D
133 24 R
105 -50 R
140 18 R
157 -17 D
109 -24 R
125 35 D
120 -51 D
132 8 R
80 -33 R
100 -33 D
169 24 D
144 11 D
133 -32 R
169 -45 R
129 -52 D
110 17 R
102 10 D
137 -15 R
137 -51 D
82 -55 R
112 17 D
158 10 D
160 10 R
78 5 D
164 -14 R
151 30 R
83 3 D
73 12 R
157 -14 R
120 16 R
75 -27 D
95 15 D
121 32 R
87 -3 R
116 32 D
77 11 D
165 30 R
112 14 D
124 -20 R
112 -2 D
135 11 D
125 -44 R
166 15 D
114 37 R
101 -43 D
-48 -30
62 6 D
-10 87 D
-16 121 D
23 13 D
99 -36 R
-21 122 D
52 -166 D
-200 -94 D
85 -200 D
-60 -71 R
-166 -174 R
166 -152 R
187 -28 D
-137 -106 D
73 24 D
110 -154 R
-162 38 R
-20 -84 R
-77 -109 R
-118 103 R
131 -74 R
-34 -45 R
-70 2 R
-31 -21 R
-24 -9 R
-34 -6 R
-26 -71 R
-48 -74 R
-41 -25 R
-37 -4 R
-33 -31 D
-41 -53 D
-3 -73 D
-88 -17 D
-92 -78 D
-43 -51 D
-63 -71 D
-73 -34 R
-80 -19 D
-41 -10 R
-81 -9 D
-85 16 R
-95 -36 D
-14 -45 R
-1 -14 D
-62 -16 D
-62 -57 D
-3 -15 R
-11 -33 D
-35 -40 D
-46 -36 R
-90 -68 D
-19 -11 R
-93 -71 R
-51 -44 R
-44 -76 D
-9 -10 R
-46 -52 R
-96 -23 D
-62 -31 R
-88 -14 R
-71 -11 D
-47 -23 D
-1 -62 R
-70 18 D
-79 -51 D
-67 -62 R
-13 -61 D
-38 7 D
-76 -64 D
-5 -15 R
-34 18 D
-66 15 D
-89 -36 D
-97 -39 D
-83 20 R
-50 -4 R
-65 -68 D
-34 -28 R
-8 20 R
-6 -66 D
-63 -34 D
-52 -32 D
-62 -30 R
-18 -11 R
-47 -24 D
-70 -40 D
-53 -8 D
-88 -19 D
-76 -63 R
-22 -52 D
-40 -62 R
-57 7 R
-46 -22 R
-81 -14 D
-57 -73 R
-10 13 D
-39 -20 R
-72 -69 D
-94 -52 D
-116 -142
186 -80 R
-86 -116 R
-76 162 R
86 -176 D
-12 -149 D
-190 176 D
42 95 R
-32 132 D
139 -36 D
3 -65 R
-15 164 D
-149 -94 R
-165 -161 D
-98 -172 R
-83 -175 R
-112 -168 R
-70 -120 D
-111 -92 R
-104 -189 R
-154 -188 D
-103 -160 R
-82 -130 D
-108 -99 D
-130 -190 D
-110 -152 R
-114 -137 D
-71 -132 D
-113 -102 D
-110 -100 D
-163 -97 R
-93 -117 R
-101 -110 D
-138 -167 D
-75 -141 D
-114 -143 D
-128 -113 R
-123 -102 D
-163 -146 D
-92 -147 D
-141 -135 D
-140 -106 R
-153 -188 D
-80 -101 D
-105 -180 R
-148 -156 R
-71 -173 R
-162 -192 D
-100 -95 R
-81 -124 R
-161 -109 R
-83 -129 R
-127 -138 R
-144 -186 R
-109 -137 D
-138 -100 R
-115 -104 R
-76 -119 D
-155 -144 D
-93 -180 R
-137 -145 D
-129 -176 D
-72 -146 R
-165 -173 R
-83 -159 R
-154 -126 D
-97 -138 D
-70 -123 D
-164 -187 R
-154 -119 R
-75 -169 D
-166 -174 R
-70 -179 D
-97 -115 D
-71 -92 R
-99 -184 D
-85 -154 D
-108 -110 D
-124 -95 R
-73 -173 D
-163 -189 D
-92 -135 D
-66 -181 R
-77 -158 D
-93 -157 D
-164 -138 D
-77 -100 R
-107 -99 D
-139 -124 D
-156 -167 D
-86 -156 R
-106 -149 D
-66 -114 R
-115 -110 D
-140 -117 R
-106 -107 R
-166 -157 D
-146 -154 R
-98 -161 D
-94 -117 D
-83 -143 D
